FIRE_NO,FIRE_YEAR,RSPNS_TYPC,IGN_DATE,FR_T_DTE,FIRESTATUS,FIRE_CAUSE,FIRE_CENTR,ZONE,FIRE_ID,FIRE_TYPE,INCDNT_NM,GEO_DESC,LATITUDE,LONGITUDE,SIZE_HA,FIRE_URL,FCODE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
C23535,2023,Full,20240326105103,,Under Control,Person,7,2,3535,Fire,C23535,SW of Prospector Rd,52.1206,-121.9657,26,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C23535,JA70003000,,15036570,1275634.4807999986,797801.9848000025
G73538,2023,Full,20240326182344,,Under Control,Person,4,7,3538,Fire,G73538,Moberly Lake,55.8681,-121.6414,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73538,JA70003000,,15036571,1272035.1278999997,1216499.041400007
G73557,2023,Full,20240330173333,,Under Control,Person,4,7,3557,Fire,G73557,N Kelly Lake Rd and Hwy 52,55.2522,-120.1676,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73557,JA70003000,,15036572,1369492.5780999993,1154612.7770999996
G73561,2023,Full,20240331163109,,Under Control,Person,4,7,3561,Fire,G73561,7km Sukunka River FSR,55.416,-121.6614,5.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73561,JA70003000,,15036573,1273879.8369999998,1166060.5558000011
G73562,2023,Full,20240331165558,,Under Control,Person,4,7,3562,Fire,G73562,Gundy Caves,55.5935,-120.0486,1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G73562,JA70003000,,15036574,1373814.6973,1193203.9041999998
G70001,2024,Full,20240401115036,,Under Control,Person,4,7,1,Fire,G70001,Sunset Prairie,55.9615,-120.7303,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G70001,JA70003000,,15036575,1328027.976900001,1230768.4822999928
G70002,2024,Full,20240401120627,,Under Control,Person,4,7,2,Fire,G70002,Hobbs Road,55.9619,-121.4271,3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G70002,JA70003000,,15036576,1284716.1841000004,1227791.8235000037
N50003,2024,Full,20240401123411,,Under Control,Person,6,5,3,Fire,N50003,Deer Creek,49.4181,-118.0323,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=N50003,JA70003000,,15036577,1577315.6462999992,521603.72000000253
G80004,2024,Full,20240331222317,20240401151222,Out,Person,4,8,4,Fire,,East End of Craig Rd,56.1907,-120.471,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G80004,JA70003000,,15036578,1342140.3398999998,1257495.4914000044
N60005,2024,Full,20240401140953,,Being Held,Person,6,6,5,Fire,N60005,Peacock Road,49.0611,-118.9481,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=N60005,JA70003000,,15036579,1515137.9313999992,475101.38769999985
C20006,2024,Full,20240401142712,20240402111941,Out,Person,7,2,6,Fire,C20006,1.5 km SW of Yellow Lake,52.0358,-121.9572,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C20006,JA70003000,,15036580,1276753.6608,788405.9884999981
G80008,2024,Full,20240401150000,,Under Control,Person,4,8,8,Fire,G80008,East Ranch,56.6493,-120.9596,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G80008,JA70003000,,15036581,1308317.4130000002,1306280.688000002
C20012,2024,Full,20240402121314,,Under Control,Person,7,2,12,Fire,C20012,3 km SE of Mayfield Lake,51.8607,-122.1702,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C20012,JA70003000,,15036582,1263242.9955000004,768097.8759999992
C40013,2024,Full,20240402124857,,Under Control,Person,7,4,13,Fire,C40013,N of Chub Lake,51.8146,-121.2959,3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C40013,JA70003000,,15036583,1323601.7307999993,766590.9541999986
G80016,2024,Monitor,20240302193100,,Under Control,Person,4,8,16,Fire,G80016,Rose prairie,56.5876,-120.902,1.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G80016,JA70003000,,15036584,1312333.7451000004,1299672.4053000007
K60018,2024,,20240402160400,,Under Control,Person,5,6,18,Fire,,5km Blakeburn Road,49.5233,-120.718,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=K60018,JA70003000,,15036585,1382298.0133999987,515049.3410000028
K60019,2024,,20240402174414,,Out of Control,Person,5,6,19,Fire,Petit Creek,3km E of Petit Creek,50.1446,-121.001,3.29,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=K60019,JA70003000,,15036586,1356974.0924999986,582482.1276000012
R20020,2024,,20240403082401,,Being Held,Unknown,3,2,20,Fire,Holdover Tekaiziyis Ridge,3.5km SW of Parrot Lakes,54.0835,-126.599,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=R20020,JA70003000,,15036587,960905.8794000002,1009093.4518999988
G80223,2023,Full,20230505140612,,Under Control,Person,4,8,223,Fire,2023 Holdover RED CREEK,Red Creek,56.4161,-121.2324,2947,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80223,JA70003000,,15036588,1293407.3104,1279164.7045000065
G90273,2023,Monitor,20230511152100,,Under Control,Lightning,4,9,273,Fire,2023 Holdover Klua Lakes,Klua Lakes,58.0617,-121.9122,42838.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90273,JA70003000,,15036589,1241029.5771999988,1459770.9702999964
G80280,2023,Full,20230512165826,,Under Control,Lightning,4,8,280,Fire,2023 Holdover DONNIE CREEK,Donnie Creek,57.6187,-122.0123,619072.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80280,JA70003000,,15036590,1237912.9814000006,1410129.3789
G90288,2023,Modified,20230511134633,,Under Control,Lightning,4,9,288,Fire,2023 Holdover G90288,Hossitl Creek,59.9636,-120.9866,290073.32,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90288,JA70003000,,15036591,1280547.8216999988,1674426.5326000024
G80291,2023,Full,20230513150246,,Under Control,Person,4,8,291,Fire,2023 Holdover STODDART CREEK,Stoddart Creek,56.5112,-121.2219,29505.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80291,JA70003000,,15036592,1293336.4484999995,1289801.4696000004
G90292,2023,Monitor,20230511151054,,Under Control,Lightning,4,9,292,Fire,2023 Holdover G90292,Muskwa River,58.0517,-123.3252,21056,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90292,JA70003000,,15036593,1157806.3860000004,1454681.0156999999
G90565,2023,Monitor,20230602101346,,Under Control,Lightning,4,9,565,Fire,2023 Holdover G90565,N of Muskwa River,57.9132,-123.9312,208,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90565,JA70003000,,15036594,1122519.5371000008,1438047.7995999977
G60603,2023,Monitor,20230604081220,,Under Control,Lightning,4,6,603,Fire,2023 Holdover G60603,Clearwater Creek,55.912,-123.1348,363.88,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60603,JA70003000,,15036595,1178689.8757000007,1216643.7151000006
G90628,2023,Monitor,20230604142658,,Under Control,Lightning,4,9,628,Fire,2023 Holdover G90628,Hay River,58.5021,-120.4118,173353.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90628,JA70003000,,15036596,1325470.5528999995,1514734.2916000057
G70644,2023,Full,20230606121524,,Under Control,Lightning,4,7,644,Fire,2023 Holdover Peavine Creek,Peavine Creek,55.3792,-120.0827,4427,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70644,JA70003000,,15036597,1373678.7013000008,1169180.473500004
G70645,2023,Full,20230606124033,,Under Control,Lightning,4,7,645,Fire,2023 Holdover W Kiskatinaw River,West Kiskatinaw River,55.1541,-120.6697,25095,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70645,JA70003000,,15036598,1338569.780999999,1141177.8236000035
G41307,2023,Full,20230708152446,,Under Control,Lightning,4,4,1307,Fire,2023 Holdover Tatuk Lake,Tatuk Lake,53.591,-124.1523,44641.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41307,JA70003000,,15036514,1122016.6448000001,955562.552399992
G91313,2023,Monitor,20230628163025,,Under Control,Lightning,4,9,1313,Fire,2023 Holdover G91313,Nogah Creek,58.672,-121.6427,74685.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91313,JA70003000,,15036515,1252719.7811999996,1528576.4924000013
G51344,2023,Monitor,20230708181607,,Under Control,Lightning,4,5,1344,Fire,2023 Holdover Ocock Lake,8 KM East of Salmon Lake,54.7485,-123.8708,5219.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51344,JA70003000,,15036516,1136709.9828999985,1085212.1441000002
G91359,2023,Monitor,20230622171628,,Under Control,Lightning,4,9,1359,Fire,2023 Holdover G91359,West Klua Creek,58.232,-122.343,8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91359,JA70003000,,15036517,1214673.0822999992,1477335.2565000039
G91355,2023,Monitor,20230628204003,,Under Control,Lightning,4,9,1355,Fire,2023 Holdover G91355,Tight Fit Lake,59.669,-122.625,350,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91355,JA70003000,,15036518,1190509.1605999991,1636287.7767000017
G51411,2023,Full,20230709150133,,Under Control,Lightning,4,5,1411,Fire,2023 HOldover Albert Lake,Albert Lake,55.3288,-125.3514,451.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51411,JA70003000,,15036519,1041055.9953000001,1148122.4191999882
G41466,2023,Monitor,20230709202829,,Under Control,Lightning,4,4,1466,Fire,2023 Holdover G41466,3nm SW of Tasa Lake,53.659,-123.7843,262,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41466,JA70003000,,15036520,1146067.5168999997,963840.6896999972
G91467,2023,Monitor,20230709203201,,Under Control,Lightning,4,9,1467,Fire,2023 Holdover G91467,Shush Creek,59.2839,-122.1495,888.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91467,JA70003000,,15036521,1219651.4299999997,1594892.3918999988
G51474,2023,Full,20230708212000,,Under Control,Lightning,4,5,1474,Fire,2023 Holdover G51474,West Creek,54.7353,-125.1753,1503.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51474,JA70003000,,15036522,1052974.2917000004,1081994.9204999954
G41493,2023,Modified,20230710124455,,Under Control,Lightning,4,4,1493,Fire,2023 Holdover Davidson Creek,Davidson Creek,53.2252,-124.9064,4878.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41493,JA70003000,,15036523,1072849.7229999988,913712.534099997
G91494,2023,Monitor,20230710124840,,Under Control,Lightning,4,9,1494,Fire,2023 Holdover G91494,Petitot River,59.8051,-121.7854,6996.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91494,JA70003000,,15036524,1236953.3655999985,1653931.7765000025
G41502,2023,Full,20230710142032,,Under Control,Lightning,4,4,1502,Fire,2023 Holdover North Lucas Lake,North Lucas Lake,53.5682,-125.2453,34853.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41502,JA70003000,,15036525,1049870.8862999994,951686.0843999889
G41509,2023,Monitor,20230710152200,,Under Control,Lightning,4,4,1509,Fire,2023 Holdover G41509,Lucas Creek,53.5284,-125.0497,104.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41509,JA70003000,,15036526,1062854.6212000013,947397.224299999
G41511,2023,Full,20230710155552,,Under Control,Lightning,4,4,1511,Fire,2023 Holdover Greer Creek,Greer Creek,53.7755,-124.4256,4767.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41511,JA70003000,,15036527,1103509.1081999997,975710.3740000045
