FIRE_NO,FIRE_YEAR,RSPNS_TYPC,IGN_DATE,FR_T_DTE,FIRESTATUS,FIRE_CAUSE,FIRE_CENTR,ZONE,FIRE_ID,FIRE_TYPE,INCDNT_NM,GEO_DESC,LATITUDE,LONGITUDE,SIZE_HA,FIRE_URL,FCODE,SHAPE,OBJECTID,X_COORDINATE,Y_COORDINATE
G60861,2023,Full,20230623203003,,Under Control,Lightning,4,6,861,Fire,2023 Holdover Porcupine Mountain,3 Miles SW of Porcupine Mountain,55.3665,-124.4427,12274.62,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G60861,JA70003000,,15036609,1098483.1238999995,1153223.2577999877
G80867,2023,Full,20230623165312,,Under Control,Lightning,4,8,867,Fire,2023 Holdover G80867,Osborn River,56.7086,-120.041,70,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80867,JA70003000,,15036610,1363832.3255,1317245.908199994
G50872,2023,Full,20230624130555,,Under Control,Lightning,4,5,872,Fire,2023 Holdover Klawli Lake,Klawli River,55.3014,-124.841,17333.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50872,JA70003000,,15036611,1073418.0425999998,1145470.6564000016
G80875,2023,Monitor,20230624143404,,Under Control,Lightning,4,8,875,Fire,2023 Holdover G80875,Zaremba Creek,57.2791,-120.9118,19136.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80875,JA70003000,,15036612,1306191.6164999995,1376569.8122999994
G50912,2023,Full,20230625164513,,Under Control,Lightning,4,5,912,Fire,2023 Holdover Driftwood River,Driftwood River,55.7693,-126.3755,816.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G50912,JA70003000,,15036613,976489.6028000005,1197158.7595000044
G90949,2023,Monitor,20230623192725,,Under Control,Lightning,4,9,949,Fire,2023 Holdover G90949,Coal River,59.628,-126.9532,5278.13,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90949,JA70003000,,15036614,946116.2909999996,1627549.6405999982
G90956,2023,Monitor,20230623190359,,Under Control,Lightning,4,9,956,Fire,2023 Holdover G90956,Grant Lake,59.5248,-126.6508,12107.21,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90956,JA70003000,,15036615,963101.5394999994,1615883.922799996
G90981,2023,Monitor,20230624190343,,Under Control,Lightning,4,9,981,Fire,2023 Holdover G90981,1 Mile SW of the Turnagain & Kachinka Confurance,59.1395,-127.65,22393.46,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90981,JA70003000,,15036616,905462.6359000007,1573947.7452000016
G91013,2023,Modified,20230628193831,,Under Control,Lightning,4,9,1013,Fire,2023 Holdover G91013,Sandy Creek,59.6431,-123.2241,3764.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91013,JA70003000,,15036617,1156822.7335000006,1631942.8267000057
G91021,2023,Monitor,20230628155138,,Under Control,Lightning,4,9,1021,Fire,2023 Holdover G91021,Scatter River,59.7755,-125.3435,12,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91021,JA70003000,,15036618,1036961.2705000006,1643757.1416000011
G41158,2023,Modified,20230706152024,,Under Control,Lightning,4,4,1158,Fire,2023 Holdover Gatcho Lake,1.5km SE of Gatcho Lake,52.9571,-125.672,21926.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41158,JA70003000,,15036619,1021989.6502000001,883292.7988000037
G51279,2023,Full,20230708100019,,Under Control,Lightning,4,5,1279,Fire,2023 Holdover Great Beaver Lake,Great Beaver Lake,54.4219,-123.6492,48396.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G51279,JA70003000,,15036620,1152144.073599999,1049221.2133000046
